code,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
000001,000001,平安银行,-1.374,20.1,20.38,20.38,20.0,20.38,72740433,0.37484,1461467512,14.357,1.288,39005895.57798,39005566.49475
000002,000002,万 科Ａ,-0.431,23.11,23.15,23.35,22.85,23.21,52294329,0.5381400000000001,1205101189,6.384,1.19,26848579.116511,22457265.595415
000004,000004,国华网安,-0.777,24.26,24.07,24.99,24.0,24.45,11119362,9.65846,271400900,61.967,2.741,400417.66825,279294.751694
000005,000005,ST星源,3.365,2.15,2.06,2.18,2.02,2.08,29736858,2.81081,62169442,-5.874,1.823,227585.42103,227458.44203
000006,000006,深振业Ａ,-0.634,4.7,4.7,4.72,4.64,4.73,7935765,0.58784,37134135,7.338,0.8310000000000001,634497.67162,634497.67162
000007,000007,*ST全新,-3.383,4.57,4.7,4.73,4.53,4.73,6693813,2.16665,30741997,-12.88,25.055,158326.756108,141189.256108
000008,000008,神州高铁,-0.459,2.17,2.18,2.19,2.17,2.18,9693913,0.36372000000000004,21112891,-6.5760000000000005,0.934,603432.590082,578352.021296
000009,000009,中国宝安,-5.849,23.18,25.0,25.07,22.89,24.62,110654707,4.33697,2645971911,90.335,8.44,5978617.97087,5914215.491032
000010,000010,美丽生态,2.29,4.02,3.95,4.03,3.89,3.93,12268701,2.34955,48686540,82.716,6.679,329581.594626,209912.942196
000011,000011,深物业A,-3.532,12.29,12.66,12.66,12.26,12.74,10865094,2.06374,134686058,9.172,1.858,732458.304068,647038.442347
000012,000012,南 玻Ａ,-5.334,11.18,11.8,11.81,11.15,11.81,86108756,4.39779,974108695,44.72,3.183,3433033.775626,2189042.959142
000014,000014,沙河股份,-1.867,7.36,7.47,7.47,7.3,7.5,1701602,0.8436100000000001,12548263,368.0,1.678,148455.017632,148455.017632
000016,000016,深康佳Ａ,0.809,6.23,6.19,6.31,6.18,6.18,20066388,1.25684,125342805,31.401,1.763,1500149.989184,994665.7889
000017,000017,深中华A,-4.435,4.31,4.53,4.63,4.27,4.51,20117534,6.63987,89059935,624.638,222.165,237630.965157,130584.814448
000019,000019,深粮控股,-1.195,7.44,7.52,7.52,7.4,7.53,5004180,1.20239,37220669,21.166,1.812,857486.228976,309641.515008
000020,000020,深华发Ａ,-0.099,10.05,10.0,10.17,9.98,10.06,1581800,0.8731200000000001,15906570,417.012,8.326,284577.033135,182071.217955
000021,000021,深科技,-2.717,16.83,17.32,17.33,16.8,17.3,24631404,1.6748500000000002,417669403,28.888,3.185,2626468.910604,2475125.283708
000023,000023,深天地Ａ,-2.532,13.86,14.27,14.28,13.82,14.22,259701,0.18716000000000002,3624429,-241.885,4.103,192316.14864,192316.14864
000025,000025,特 力Ａ,-2.239,15.28,15.44,15.58,15.27,15.63,7613889,1.9384700000000001,117151226,114.2,4.944,658657.11296,600165.27296
000026,000026,飞亚达,-2.645,13.25,13.6,13.61,13.0,13.61,5496561,1.53573,72880289,19.589,1.983,576892.41515,474234.167175
000027,000027,深圳能源,-3.18,8.83,9.07,9.08,8.8,9.12,77742207,1.63414,690504386,11.321,1.541,4200775.295828,4200775.295828
000028,000028,国药一致,0.0,36.37,36.37,36.4,36.15,36.37,1514936,0.41197000000000006,54867068,11.122,1.091,1557097.837171,1337443.1025
000029,000029,深深房Ａ,-0.659,7.54,7.65,7.69,7.47,7.59,4876965,0.54695,36723823,26.281,1.962,762791.64,672311.64
000030,000030,富奥股份,0.0,6.1,6.1,6.12,6.03,6.1,3497670,0.19874000000000003,21247722,11.731,1.475,1104436.78771,1073527.3307
000031,000031,大悦城,-0.28400000000000003,3.51,3.52,3.53,3.5,3.52,4996391,0.26425000000000004,17546013,-39.0,0.808,1504495.981989,663652.697877
000032,000032,深桑达Ａ,-2.686,17.75,18.23,18.39,16.42,18.24,2585855,0.62851,45798813,49.21,4.5809999999999995,1901435.87345,730277.793475
000034,000034,神州数码,-2.153,17.27,17.6,17.92,17.25,17.65,12500828,2.50653,218328289,17.921,2.4,1139227.469754,861306.889608
000035,000035,中国天楹,-1.342,4.41,4.45,4.48,4.39,4.47,6445500,0.26272,28479522,16.962,0.9590000000000001,1112985.787977,1081925.310816
000036,000036,华联控股,-2.018,4.37,4.45,4.51,4.25,4.46,19439022,1.31391,85384704,11.811,1.295,648479.168925,646530.32591
000037,000037,深南电A,-0.734,8.11,8.17,8.18,8.08,8.17,3224200,0.9513900000000001,26146343,76.365,2.394,488840.465356,274843.042921
000038,000038,深大通,1.202,10.1,9.92,10.1,9.86,9.98,3507660,1.47271,35096751,66.404,1.83,528005.19319,240559.74566
