,code,name,roe1,roe2,roe3,roe4,roe5,roe6,roe7,roe8,roe9,roe10,roe11,roe12,roe_all,roe
562,26,飞亚达,-0.49,2.95,7.81,10.5,4.05,,2.44,4.6,6.79,8.13,7.15,6.37,60.3,5.025
319,32,深桑达A,1.2,2.49,5.27,9.42,1.23,,1.97,3.77,6.15,9.11,7.83,6.26,54.7,4.558333333
22,36,华联控股,5.9,9.22,10.88,11.23,2.05,,5.34,10,12.84,16.52,20.11,16.08,120.17,10.01416667
548,40,东旭蓝天,-0.4,-2.13,-1.5,-8.38,-0.68,,0.12,0.64,0.5,-7.12,7.7,10.94,-0.31,-0.025833333
563,46,泛海控股,-0.56,-1.89,-2.99,-27.83,-0.9,,9.2,7.99,10.89,5.09,4.62,8.58,12.2,1.016666667
309,60,中金岭南,1.3,3.35,5.24,8.15,2.03,,2.48,4.47,5.92,7.79,8.91,7.5,57.14,4.761666667
388,151,中成股份,0.74,0.87,0.93,-45.59,0.4,,0.05,-1.5,0.25,0.92,8.33,6.71,-27.89,-2.324166667
495,507,珠海港,0.22,2.44,2.86,5.02,1.46,,0.19,2.33,2.77,4.27,5.87,5,32.43,2.7025
677,530,冰山冷热,-1.76,-0.7,0.12,0.63,-0.86,,3.08,3.16,3.05,2.63,3.27,2.18,14.8,1.233333333
411,541,佛山照明,0.64,2.88,4.47,5.05,0.74,,1.86,3.86,5.27,6.17,8.74,7.43,47.11,3.925833333
214,563,陕国投A,1.89,3.54,4.61,5.81,1.44,,2.28,3.29,4.26,5.29,3.06,2.29,37.76,3.146666667
743,595,宝塔实业,-6.97,-9.74,-18.6,1.16,-1.8,,-3.42,-11.46,-16.11,-99.94,-15.69,-1.04,-183.61,-15.30083333
227,627,天茂集团,1.81,2.49,2.76,2.74,1.04,,1.62,3.67,4.99,8.36,6.98,5.37,41.83,3.485833333
15,661,长春高新,6.28,14.25,22.28,27.87,7.4,,6.6,12.31,19.34,21.95,19,16.35,173.63,14.46916667
598,665,湖北广电,-0.87,-0.25,-1.09,-11.22,-0.94,,0.98,1.91,2.19,1.51,2.87,3.21,-1.7,-0.141666667
658,668,荣丰控股,-1.37,-1.71,-2.19,-2.45,-0.95,,1.12,6.97,6.78,3.76,1.03,0.45,11.44,0.953333333
24,672,上峰水泥,5.82,17.62,24.27,29.89,4.96,,9.41,23.68,33.49,42.93,42.61,29.82,264.5,22.04166667
740,700,模塑科技,-6.11,-4.26,-1.44,0.52,3.02,,2.57,2.47,3.8,4.33,0.47,0.3,5.67,0.4725
671,715,中兴商业,-1.55,-0.75,1.25,6.28,1.5,,1.48,6.25,8.18,10.43,6.7,4.7,44.47,3.705833333
304,726,鲁泰A,1.32,1.83,1.23,1.26,0.95,,2.66,5.76,7.99,12.37,11.35,8.36,55.08,4.59
690,729,燕京啤酒,-1.9,2,3.55,1.48,-0.82,,0.45,3.79,4.71,1.75,1.38,4.55,20.94,1.745
426,735,罗牛山,0.54,1.63,2.39,2.43,1.05,,-0.33,-1.2,-1.05,0.73,9.78,9.93,25.9,2.158333333
272,738,航发控制,1.59,4.01,5.52,6.12,2.17,,1.23,3.25,4.52,4.99,4.84,4.37,42.61,3.550833333
737,759,中百集团,-5.63,-2.32,2.08,1.34,0.07,,0.77,1.07,1.1,0.3,12.71,13.66,25.15,2.095833333
482,768,中航西飞,0.26,1.41,2.72,5.07,0.87,,0.24,1.38,2.09,3.43,3.47,1.47,22.41,1.8675
709,780,ST平能,-2.75,-4.24,-6.28,-24.95,-3.65,,-4.39,-4.91,-4.51,-2.02,-6.03,-1.18,-64.91,-5.409166667
288,783,长江证券,1.5,3.36,6.67,7.17,2.36,,2.81,3.96,5.26,5.95,0.96,2.1,42.1,3.508333333
659,793,华闻集团,-1.38,-3.18,-3.03,-73.74,-2.3,,0.63,1.02,1.07,1.98,-106.1,0.23,-184.8,-15.4
377,800,一汽解放,0.83,8.94,10.79,10.87,6.77,,0.47,0.12,-3.44,0.65,1.91,1.67,39.58,3.298333333
287,828,东莞控股,1.51,4.42,8.78,11.72,2.99,,4.1,8.28,11.95,14.83,16.15,11.61,96.34,8.028333333
428,831,五矿稀土,0.53,6.68,5.71,11.33,3.95,,0.57,2.22,2.81,3.86,4.79,3.8,46.25,3.854166667
631,833,粤桂股份,-1.1,-1.22,-1.92,2.19,0.04,,0.19,1.68,1.86,2.95,3.24,3.56,11.47,0.955833333
5,848,承德露露,8.36,10.24,14.5,19.63,9.26,,10.35,14.62,19.16,23.29,21.48,18.83,169.72,14.14333333
686,851,高鸿股份,-1.8,-2.55,-3.54,-3.84,0.03,,-0.61,0.46,0.78,0.69,1.02,1.07,-8.29,-0.690833333
410,861,海印股份,0.64,2.07,3.47,0.81,0.33,,0.66,1.65,3.22,3.75,4,3.78,24.38,2.031666667
25,876,新希望,5.7,10.61,13.89,12.4,0.34,,3.05,6.91,12.75,19.34,7.9,6.79,99.68,8.306666667
718,885,城发环境,-3.48,1.03,6.78,13.06,3.96,,5.53,12.47,19,20.85,23.43,19,121.63,10.13583333
540,886,海南高速,-0.32,0.71,2.99,3.27,0.5,,0.96,1.6,1.96,2.23,5.98,5.64,25.52,2.126666667
427,892,欢瑞世纪,0.53,-4.87,-5.92,-41.99,0.98,,0.31,0.52,0.16,-20.76,9.41,5.24,-56.39,-4.699166667
7,895,双汇发展,8.15,19.24,20.02,26.32,5.71,,8.96,17.57,25.95,32.97,37.87,24.88,227.64,18.97
402,912,泸天化,0.68,2.13,3.41,7.02,0.92,,0.65,2.12,4.11,5.61,7.42,98.84,132.91,11.07583333
107,922,佳电股份,2.99,7.88,15.38,15.95,2.85,,5.01,9.57,12.97,15.81,15.2,14.24,117.85,9.820833333
147,923,河钢资源,2.48,4.28,9.39,13.07,5.75,,1.63,3.38,5.93,7.38,2.11,1.12,56.52,4.71
432,933,神火股份,0.5,2.71,10.48,5.13,7.74,,0.89,4.33,29.58,17.29,3.92,4.74,87.31,7.275833333
320,937,冀中能源,1.2,2.94,3.99,4.01,0.81,,1.14,2.24,3.49,4.4,4.38,4.21,32.81,2.734166667
358,938,紫光股份,0.88,3.06,4.44,6.36,0.96,,1.4,3.11,4.49,6.54,6.41,4.46,42.11,3.509166667
118,961,中南建设,2.8,9,15,24.66,2.32,,2.69,6.99,11.48,19.41,12.6,7.91,114.86,9.571666667
350,967,盈峰环境,0.91,3.26,5.55,8.19,0.88,,1.6,4.2,6.37,8.77,6.41,6.24,52.38,4.365
506,969,安泰科技,0.18,1.11,1.59,2.24,1.24,,1.26,1.68,2.57,3.68,-5.09,-1.81,8.65,0.720833333
406,976,华铁股份,0.67,3.71,5.93,9.12,0.9,,0.51,3.27,4.93,6.8,3.43,4.92,44.19,3.6825
722,978,桂林旅游,-4.39,-7.57,-8.79,-20.24,-4.33,,-0.12,0.64,3.45,3.45,5.11,5.03,-27.76,-2.313333333
