,code,name,roe
0,300511,雪榕生物,8.155833333333334
2,002157,正邦科技,8.393333333333333
5,000848,承德露露,14.14333333333333
6,600779,水井坊,22.741666666666664
7,000895,双汇发展,18.97
8,300628,亿联网络,16.111666666666665
11,002174,游族网络,7.833333333333333
13,002100,天康生物,10.206666666666665
14,300677,英科医疗,24.022499999999997
15,000661,长春高新,14.469166666666666
16,600477,杭萧钢构,9.839999999999998
17,002601,龙佰集团,11.066666666666665
19,002458,益生股份,19.339166666666667
20,300206,理邦仪器,12.899166666666668
21,603233,大参林,11.900833333333333
22,000036,华联控股,10.014166666666666
23,600298,安琪酵母,13.659999999999998
24,000672,上峰水泥,22.041666666666668
25,000876,新希望,8.306666666666667
26,603708,家家悦,9.610833333333334
28,300459,金科文化,2.7825
29,300461,田中精机,-55.33916666666667
30,603669,灵康药业,8.21
32,601872,招商轮船,5.335833333333333
34,002698,博实股份,8.394166666666667
37,300751,迈为股份,13.818333333333333
38,002475,立讯精密,12.129166666666665
40,300432,富临精工,-3.4916666666666667
41,601515,东风股份,8.6275
42,002511,中顺洁柔,9.227500000000001
43,603568,伟明环保,14.279166666666667
44,300690,双一科技,11.024166666666666
45,002727,一心堂,8.448333333333332
48,300482,万孚生物,11.8075
49,300327,中颖电子,11.473333333333334
50,002019,亿帆医药,7.497499999999999
51,603601,再升科技,9.354999999999999
52,000999,华润三九,9.995833333333334
54,002755,奥赛康,15.132499999999999
57,002557,洽洽食品,9.181666666666667
59,603228,景旺电子,9.685833333333333
60,002637,赞宇科技,7.209166666666666
62,603113,金能科技,9.764166666666666
63,600521,华海药业,6.925000000000001
67,300059,东方财富,7.0424999999999995
68,600183,生益科技,9.905
69,300725,药石科技,11.298333333333334
71,002548,金新农,1.4816666666666665
72,603587,地素时尚,11.300833333333335
74,688098,申联生物,5.28
77,002078,太阳纸业,8.729166666666666
78,002597,金禾实业,10.948333333333336
82,002958,青农商行,7.071666666666668
83,002136,安纳达,4.885
86,300617,安靠智电,6.830000000000001
89,002222,福晶科技,9.225833333333332
91,300014,亿纬锂能,9.28
92,300724,捷佳伟创,9.925
93,002841,视源股份,16.848333333333333
94,601799,星宇股份,9.326666666666666
95,002815,崇达技术,8.755
96,002818,富森美,8.826666666666666
97,600919,江苏银行,6.284166666666667
100,603986,兆易创新,7.704166666666667
101,002191,劲嘉股份,7.147500000000001
105,600000,浦发银行,6.557500000000001
107,000922,佳电股份,9.820833333333335
108,300765,新诺威,7.129166666666666
116,600212,江泉实业,-22.524999999999995
117,002053,云南能投,4.0216666666666665
118,000961,中南建设,9.571666666666665
119,300346,南大光电,3.8491666666666666
120,600260,凯乐科技,8.7325
121,300595,欧普康视,12.981666666666667
123,300632,光莆股份,9.38
124,300748,金力永磁,7.701666666666665
128,600282,南钢股份,10.826666666666668
129,603890,春秋电子,6.135833333333334
130,300707,威唐工业,4.873333333333333
131,300661,圣邦股份,8.914166666666668
132,002860,星帅尔,8.003333333333334
133,002110,三钢闽光,12.870833333333335
136,002851,麦格米特,8.449166666666667
137,002020,京新药业,8.224166666666665
138,300383,光环新网,5.690833333333333
140,300563,神宇股份,5.123333333333332
143,002417,深南股份,-0.5041666666666668
145,002440,闰土股份,7.900000000000001
146,603871,嘉友国际,10.425833333333333
147,000923,河钢资源,4.71
149,002083,孚日股份,6.239999999999999
152,002487,大金重工,5.823333333333333
154,603458,勘设股份,8.244166666666667
156,300739,明阳电路,5.789166666666667
157,300294,博雅生物,5.73
159,002412,汉森制药,5.289166666666667
160,002135,东南网架,4.208333333333333
161,300403,汉宇集团,7.1191666666666675
162,600603,广汇物流,5.16
164,002218,拓日新能,2.4841666666666664
167,601860,紫金银行,6.1125
168,300610,晨化股份,7.038333333333334
170,002892,科力尔,7.4174999999999995
171,002117,东港股份,8.260833333333332
172,603599,广信股份,6.281666666666666
173,002430,杭氧股份,7.7
174,601006,大秦铁路,7.159166666666668
176,600690,海尔智家,10.474166666666667
178,002254,泰和新材,5.1375
180,603979,金诚信,4.5424999999999995
183,300693,盛弘股份,5.678333333333334
184,002081,金螳螂,8.669166666666666
185,600398,海澜之家,12.879166666666668
186,300398,飞凯材料,6.291666666666667
