,symbol,name,industry
0,000001,平安银行,银行
1,000002,万科A,全国地产
2,000004,国华网安,软件服务
3,000005,ST星源,环境保护
4,000006,深振业A,区域地产
5,000007,*ST全新,酒店餐饮
6,000008,神州高铁,运输设备
7,000009,中国宝安,综合类
8,000010,美丽生态,建筑工程
9,000011,深物业A,区域地产
10,000012,南玻A,玻璃
11,000014,沙河股份,全国地产
12,000016,深康佳A,家用电器
13,000017,深中华A,文教休闲
14,000019,深粮控股,其他商业
15,000020,深华发A,元器件
16,000021,深科技,IT设备
17,000023,深天地A,其他建材
18,000025,特力A,汽车服务
19,000026,飞亚达,其他商业
20,000027,深圳能源,火力发电
21,000028,国药一致,医药商业
22,000029,深深房A,区域地产
23,000030,富奥股份,汽车配件
24,000031,大悦城,全国地产
25,000032,深桑达A,元器件
26,000034,神州数码,综合类
27,000035,中国天楹,环境保护
28,000036,华联控股,全国地产
29,000037,深南电A,火力发电
30,000038,深大通,广告包装
31,000039,中集集团,轻工机械
32,000040,东旭蓝天,新型电力
33,000042,中洲控股,全国地产
34,000045,深纺织A,元器件
35,000046,泛海控股,保险
36,000048,京基智农,饲料
37,000049,德赛电池,电气设备
38,000050,深天马A,元器件
39,000055,方大集团,其他建材
40,000056,皇庭国际,房产服务
41,000058,深赛格,元器件
42,000059,华锦股份,石油加工
43,000060,中金岭南,铅锌
44,000061,农产品,农业综合
45,000062,深圳华强,批发业
46,000063,中兴通讯,通信设备
47,000065,北方国际,建筑工程
48,000066,中国长城,IT设备
49,000068,华控赛格,环境保护
50,000069,华侨城A,旅游景点
51,000070,特发信息,通信设备
52,000078,海王生物,医药商业
53,000088,盐田港,港口
54,000089,深圳机场,机场
55,000090,天健集团,建筑工程
56,000096,广聚能源,石油贸易
57,000099,中信海直,空运
58,000100,TCL科技,元器件
59,000150,宜华健康,医疗保健
60,000151,中成股份,商贸代理
61,000153,丰原药业,化学制药
62,000155,川能动力,新型电力
63,000156,华数传媒,影视音像
64,000157,中联重科,工程机械
65,000158,常山北明,软件服务
66,000159,国际实业,石油贸易
67,000166,申万宏源,证券
68,000301,东方盛虹,化纤
69,000333,美的集团,家用电器
70,000338,潍柴动力,汽车配件
71,000400,许继电气,电气设备
72,000401,冀东水泥,水泥
73,000402,金融街,全国地产
74,000403,派林生物,生物制药
75,000404,长虹华意,专用机械
76,000407,胜利股份,供气供热
77,000408,藏格控股,农药化肥
78,000409,云鼎科技,综合类
79,000410,ST沈机,机床制造
80,000411,英特集团,医药商业
81,000413,东旭光电,元器件
82,000415,渤海租赁,多元金融
83,000416,民生控股,多元金融
84,000417,合肥百货,百货
